日期,LL神华煤化工价格
2012-04-09,10350.0
2012-04-10,10350.0
2012-04-11,10300.0
2012-04-12,10300.0
2012-04-13,10300.0
2012-04-16,10250.0
2012-04-17,10300.0
2012-04-18,10300.0
2012-04-19,10250.0
2012-04-20,10250.0
2012-04-23,10200.0
2012-04-24,10150.0
2012-04-25,10100.0
2012-04-26,10100.0
2012-04-27,10100.0
2012-05-02,10100.0
2012-05-03,10000.0
2012-05-04,9900.0
2012-05-07,9700.0
2012-05-08,9700.0
2012-05-09,9650.0
2012-05-10,9700.0
2012-05-11,9650.0
2012-05-14,9600.0
2012-05-15,9500.0
2012-05-16,9500.0
2012-05-17,9500.0
2012-05-18,9500.0
2012-05-21,9600.0
2012-05-22,9600.0
2012-05-23,9550.0
2012-05-24,9550.0
2012-05-25,9550.0
2012-05-28,9650.0
2012-05-29,9700.0
2012-05-30,9850.0
2012-05-31,9800.0
2012-06-01,9750.0
2012-06-04,9350.0
2012-06-05,9500.0
2012-06-06,9500.0
2012-06-07,9500.0
2012-06-08,9500.0
2012-06-11,9500.0
2012-06-12,9500.0
2012-06-13,9500.0
2012-06-14,9500.0
2012-06-15,9500.0
2012-06-18,9650.0
2012-06-19,9650.0
2012-06-20,9700.0
2012-06-21,9700.0
2012-06-25,9700.0
2012-06-26,9700.0
2012-06-27,9700.0
2012-06-28,9750.0
2012-06-29,9750.0
2012-07-02,9950.0
2012-07-03,10000.0
2012-07-04,10150.0
2012-07-05,10150.0
2012-07-06,10200.0
2012-07-09,10150.0
2012-07-10,10150.0
2012-07-11,10050.0
2012-07-12,10050.0
2012-07-13,10000.0
2012-07-16,10100.0
2012-07-17,10100.0
2012-07-18,10100.0
2012-07-19,10100.0
2012-07-20,10100.0
2012-07-23,10000.0
2012-07-24,10000.0
2012-07-25,9950.0
2012-07-26,9900.0
2012-07-27,9900.0
2012-07-30,9950.0
2012-07-31,9950.0
2012-08-01,9950.0
2012-08-02,9950.0
2012-08-03,10000.0
2012-08-06,10050.0
2012-08-07,10100.0
2012-08-08,10150.0
2012-08-09,10250.0
2012-08-10,10250.0
2012-08-13,10250.0
2012-08-14,10250.0
2012-08-15,10250.0
2012-08-16,10300.0
2012-08-17,10350.0
2012-08-20,10350.0
2012-08-21,10350.0
2012-08-22,10350.0
2012-08-23,10350.0
2012-08-24,10350.0
2012-08-27,10350.0
2012-08-28,10300.0
2012-08-29,10300.0
2012-08-30,10300.0
2012-08-31,10350.0
2012-09-03,10400.0
2012-09-04,10450.0
2012-09-05,10500.0
2012-09-06,10550.0
2012-09-07,10600.0
2012-09-10,10700.0
2012-09-11,10700.0
2012-09-12,10750.0
2012-09-13,10750.0
2012-09-14,10800.0
2012-09-17,11050.0
2012-09-18,11050.0
2012-09-19,11050.0
2012-09-20,11050.0
2012-09-21,11000.0
2012-09-24,10950.0
2012-09-25,10900.0
2012-09-26,10850.0
2012-09-27,10800.0
2012-09-28,10750.0
2012-10-08,10700.0
2012-10-09,10650.0
2012-10-10,10600.0
2012-10-11,10550.0
2012-10-12,10550.0
2012-10-15,10550.0
2012-10-16,10450.0
2012-10-17,10450.0
2012-10-18,10450.0
2012-10-19,10450.0
2012-10-22,10450.0
2012-10-23,10400.0
2012-10-24,10400.0
2012-10-25,10400.0
2012-10-26,10400.0
2012-10-29,10400.0
2012-10-30,10450.0
2012-10-31,10450.0
2012-11-01,10500.0
2012-11-02,10600.0
2012-11-05,10700.0
2012-11-06,10750.0
2012-11-07,10800.0
2012-11-08,10850.0
2012-11-09,10800.0
2012-11-12,10750.0
2012-11-13,10700.0
2012-11-14,10700.0
2012-11-15,10650.0
2012-11-16,10600.0
2012-11-19,10600.0
2012-11-20,10600.0
2012-11-21,10600.0
