日期,现货（常州sg-5低端价）
2018/5/17,6880
2018/5/18,6880
2018/5/21,6850
2018/5/22,6850
2018/5/23,6850
2018/5/24,6850
2018/5/25,6780
2018/5/28,6750
2018/5/29,6700
2018/5/30,6700
2018/5/31,6700
2018/6/1,6750
2018/6/4,6880
2018/6/5,6880
2018/6/6,6900
2018/6/7,6900
2018/6/8,6980
2018/6/11,7050
2018/6/12,7050
2018/6/13,6950
2018/6/14,6950
2018/6/15,6950
2018/6/19,6850
2018/6/20,6800
2018/6/21,6880
2018/6/22,6850
2018/6/25,6850
2018/6/26,6800
2018/6/27,6850
2018/6/28,6850
2018/6/29,6800
2018/7/2,6850
2018/7/3,6850
2018/7/4,6850
2018/7/5,6800
2018/7/6,6750
2018/7/9,6800
2018/7/10,6850
2018/7/11,6920
2018/7/12,6920
2018/7/13,6920
2018/7/16,6920
2018/7/17,6850
2018/7/18,6880
2018/7/19,6880
2018/7/20,6880
2018/7/23,6900
2018/7/24,6900
2018/7/25,6900
2018/7/26,6870
2018/7/27,6900
2018/7/30,6970
2018/7/31,6970
2018/8/1,6970
2018/8/2,6970
2018/8/3,7100
2018/8/6,7100
2018/8/7,7150
2018/8/8,7300
2018/8/9,7280
2018/8/10,7280
2018/8/13,7200
2018/8/14,7280
2018/8/15,7270
2018/8/16,7270
2018/8/17,7300
2018/8/20,7200
2018/8/21,7200
2018/8/22,7200
2018/8/23,7240
2018/8/24,7000
2018/8/27,7020
2018/8/28,7000
2018/8/29,7000
2018/8/30,7000
2018/8/31,6900
2018/9/3,6900
2018/9/4,6900
2018/9/5,6900
2018/9/6,6900
2018/9/7,6900
2018/9/10,6900
2018/9/11,6880
2018/9/12,6850
2018/9/13,6850
2018/9/14,6850
2018/9/17,6830
2018/9/18,6780
