date,MOPJ
2011/11/18,853.45
2011/11/21,844.9
2011/11/22,873.85
2011/11/23,860.7
2011/11/25,854.15
2011/11/28,867.8
2011/11/29,880.7
2011/11/30,893.05
2011/12/1,874.65
2011/12/2,889.6
2011/12/5,898.5
2011/12/6,910.35
2011/12/7,904.55
2011/12/8,894.05
2011/12/9,892.8
2011/12/12,899.05
2011/12/13,904.3
2011/12/14,875.85
2011/12/15,874.05
2011/12/16,869.6
2011/12/19,876.75
2011/12/20,896.5
2011/12/21,898.3
2011/12/22,909.6
2011/12/23,901.3
2011/12/27,901.3
2011/12/28,897.55
2011/12/29,898.55
2011/12/30,900.65
2012/1/3,919.45
2012/1/4,938.95
2012/1/5,949.9
2012/1/6,948.5
2012/1/9,951.6
2012/1/10,954.45
2012/1/11,939.6
2012/1/12,947.95
2012/1/13,929.3
2012/1/17,943.8
2012/1/18,948.6
2012/1/19,950.65
2012/1/20,938.65
2012/1/23,940.25
2012/1/24,933.95
2012/1/25,948.8
2012/1/26,960.2
2012/1/27,976.1
2012/1/30,971.8
2012/1/31,972.6
2012/2/1,970
2012/2/2,955.9
2012/2/3,965.85
2012/2/6,992.1
2012/2/7,994.25
2012/2/8,989.55
2012/2/9,1011.2
2012/2/10,1006.35
2012/2/13,1019.05
2012/2/14,1014.6
2012/2/15,1020.05
2012/2/16,1027.95
2012/2/17,1021.95
2012/2/21,1043.3
2012/2/22,1047.05
2012/2/23,1047.55
2012/2/24,1057.95
2012/2/27,1058.35
2012/2/28,1058.65
2012/2/29,1050.5
2012/3/1,1062.25
2012/3/2,1057.15
2012/3/5,1050
2012/3/6,1041.8
2012/3/7,1048.45
2012/3/8,1066.7
2012/3/9,1068.25
2012/3/12,1065.25
2012/3/13,1070.7
2012/3/14,1070.45
2012/3/15,1059.5
2012/3/16,1070.45
2012/3/19,1077.95
2012/3/20,1065.5
2012/3/21,1058.8
2012/3/22,1045.85
2012/3/23,1063.85
2012/3/26,1067.7
2012/3/27,1064.25
2012/3/28,1055.7
2012/3/29,1047.55
2012/3/30,1052.35
2012/4/2,1051.3
2012/4/3,1059.05
2012/4/4,1044.15
2012/4/5,1043.6
2012/4/9,1043.6
2012/4/10,1030.2
2012/4/11,1031.15
2012/4/12,1044.05
2012/4/13,1038.55
2012/4/16,1020.3
2012/4/17,1017.9
2012/4/18,1001.35
2012/4/19,1009.65
2012/4/20,1008.4
2012/4/23,1000.75
2012/4/24,1003.25
2012/4/25,995.35
2012/4/26,1000.65
2012/4/27,991.15
2012/4/30,989.5
2012/5/1,978.85
2012/5/2,972.15
2012/5/3,960.45
2012/5/4,922.4
2012/5/7,922.4
2012/5/8,917.8
2012/5/9,918.1
2012/5/10,918.5
2012/5/11,922.7
2012/5/14,905.9
2012/5/15,899.7
2012/5/16,897.45
2012/5/17,880.65
2012/5/18,867.3
2012/5/21,875.115
2012/5/22,865.559
2012/5/23,843.56
2012/5/24,849.22
2012/5/25,854.952
2012/5/29,855.857
2012/5/30,826.094
2012/5/31,797.546
2012/6/1,772.598
2012/6/4,775.947
2012/6/5,775.955
2012/6/6,797.261
2012/6/7,780.627
2012/6/8,775.487
2012/6/11,759.925
2012/6/12,742.121
2012/6/13,734.918
2012/6/14,750.819
2012/6/15,766.896
2012/6/18,755.536
2012/6/19,743.607
2012/6/20,718.437
2012/6/21,1697.08
2012/6/22,707.807
2012/6/25,722.181
2012/6/26,747.62
2012/6/27,744.816
2012/6/28,741.489
2012/6/29,790.822
2012/7/2,780.677
2012/7/3,811.554
2012/7/5,818.618
2012/7/6,808.992
2012/7/9,820.673
2012/7/10,808.956
2012/7/11,823.761
2012/7/12,824.637
2012/7/13,830.969
2012/7/16,854.631
2012/7/17,865.097
2012/7/18,869.424
2012/7/19,885.529
2012/7/20,877.58
2012/7/23,844.164
2012/7/24,839.425
2012/7/25,838.688
2012/7/26,841.164
2012/7/27,846.426
2012/7/30,861.62
2012/7/31,849.653
2012/8/1,867.39
2012/8/2,876.437
2012/8/3,897.829
2012/8/6,900.577
2012/8/7,915.26
2012/8/8,922.545
2012/8/9,940.88
2012/8/10,939.277
2012/8/13,936.047
2012/8/14,937.454
2012/8/15,960.407
2012/8/16,964.857
2012/8/17,950.759
2012/8/20,951.383
2012/8/21,951.268
2012/8/22,957.091
2012/8/23,959.721
2012/8/24,960.384
2012/8/27,948.654
2012/8/28,955.717
2012/8/29,957.433
2012/8/30,960.784
2012/8/31,985.704
2012/9/4,969.922
2012/9/5,968.806
2012/9/6,973.096
2012/9/7,979.925
2012/9/10,984.467
2012/9/11,987.089
2012/9/12,985.62
2012/9/13,975.494
2012/9/14,986.26
2012/9/17,948.877
2012/9/18,931.594
2012/9/19,902.417
2012/9/20,920.998
2012/9/21,937.008
2012/9/24,929.257
